Strain,Replicate,TechRep,Drug,LevelEvolvedTo,Time,OD_24h,OD_48h,OD_72h,Person,,,,,,,,
y106,7,A,0,0.5,t5,0.1221,0.1373,0.1346,M,,,,,,,,
y106,8,A,0,0.5,t5,0.1362,0.1377,0.1349,M,,,,,,,,
y106,9,A,0,0.5,t5,0.1252,0.1464,0.1431,M,,,,,,,,
y106,10,A,0,0.5,t5,0.1278,0.1419,0.1391,M,,,,,,,,
y106,11,A,0,0.5,t5,1.2767,1.2874,1.2878,M,,,,,,,,
y106,12,A,0,0.5,t5,0.152,0.1314,0.131,M,,,,,,,,
y106,1,A mixed,0,0.5,t5,,,0.0989,M,,,,,,,,
y106,2,A mixed,0,0.5,t5,,,0.0987,M,,,,,,,,
y106,3,A mixed,0,0.5,t5,,,0.1026,M,,,,,,,,
y106,4,A mixed,0,0.5,t5,,,0.0979,M,,,,,,,,
y106,5,A mixed,0,0.5,t5,,,0.0973,M,,,,,,,,
y106,6,A mixed,0,0.5,t5,,,0.1003,M,,,,,,,,
y106,7,A mixed,0,0.5,t5,,,0.0978,M,,,,,,,,
y106,8,A mixed,0,0.5,t5,,,0.0995,M,,,,,,,,
y106,9,A mixed,0,0.5,t5,,,0.102,M,,,,,,,,
y106,10,A mixed,0,0.5,t5,,,0.1032,M,,,,,,,,
y106,11,A mixed,0,0.5,t5,,,1.1278,M,,,,,,,,
y106,12,A mixed,0,0.5,t5,,,0.1037,M,,,,,,,,
y106,1,B,0,0.5,t5,0.1917,0.1563,0.1508,M,,,,,,,,
y106,2,B,0,0.5,t5,0.2041,0.1583,0.1575,M,,,,,,,,
y106,3,B,0,0.5,t5,0.1773,0.163,0.1659,M,,,,,,,,
y106,4,B,0,0.5,t5,0.1779,0.1632,0.1755,M,,,,,,,,
y106,5,B,0,0.5,t5,0.2028,0.1646,0.1688,M,,,,,,,,
y106,6,B,0,0.5,t5,0.1962,0.1637,0.1676,M,,,,,,,,
y106,7,B,0,0.5,t5,0.1876,0.1638,0.1694,M,,,,,,,,
y106,8,B,0,0.5,t5,0.2012,0.1636,0.1683,M,,,,,,,,
y106,9,B,0,0.5,t5,0.1684,0.1637,0.1654,M,,,,,,,,
y106,10,B,0,0.5,t5,0.1478,0.1653,0.1644,M,,,,,,,,
y106,11,B,0,0.5,t5,1.2736,1.2725,1.2761,M,,,,,,,,
y106,12,B,0,0.5,t5,0.157,0.1644,0.2925,M,,,,,,,,
y106,1,B mixed,0,0.5,t5,,,0.0961,M,,,,,,,,
y106,2,B mixed,0,0.5,t5,,,0.0982,M,,,,,,,,
y106,3,B mixed,0,0.5,t5,,,0.1206,M,,,,,,,,
y106,4,B mixed,0,0.5,t5,,,0.1138,M,,,,,,,,
y106,5,B mixed,0,0.5,t5,,,0.1188,M,,,,,,,,
y106,6,B mixed,0,0.5,t5,,,0.1181,M,,,,,,,,
y106,7,B mixed,0,0.5,t5,,,0.1419,M,,,,,,,,
y106,8,B mixed,0,0.5,t5,,,0.1223,M,,,,,,,,
y106,9,B mixed,0,0.5,t5,,,0.105,M,,,,,,,,
y106,10,B mixed,0,0.5,t5,,,0.115,M,,,,,,,,
y106,11,B mixed,0,0.5,t5,,,1.1617,M,,,,,,,,
y106,12,B mixed,0,0.5,t5,,,0.2437,M,,,,,,,,
y106,1,A,0,0.12,t5,0.9751,1.1957,1.1289,Q,,,,,,,,
y106,2,A,0,0.12,t5,0.9749,1.2169,1.138,Q,,,,,,,,
y106,3,A,0,0.12,t5,0.1153,0.1372,0.0566,Q,,,,,,,,
y106,4,A,0,0.12,t5,0.2855,1.2015,1.1239,Q,,,,,,,,
y106,5,A,0,0.12,t5,1.1439,1.1862,1.0988,Q,,,,,,,,
y106,6,A,0,0.12,t5,0.1183,1.1879,1.1126,Q,,,,,,,,
y106,7,A,0,0.12,t5,0.2343,1.1411,1.0734,Q,,,,,,,,
y106,8,A,0,0.12,t5,0.6842,1.1766,1.0868,Q,,,,,,,,
y106,9,A,0,0.12,t5,0.9048,1.1834,1.1122,Q,,,,,,,,
y106,10,A,0,0.12,t5,1.0227,1.2126,1.1294,Q,,,,,,,,
y106,11,A,0,0.12,t5,1.1485,1.2012,1.1266,Q,,,,,,,,
y106,12,A,0,0.12,t5,1.0631,1.1735,1.1241,Q,,,,,,,,
y106,1,B,0,0.12,t5,0.2089,1.1407,1.0927,Q,,,,,,,,
y106,2,B,0,0.12,t5,0.4887,1.2068,1.1404,Q,,,,,,,,
y106,3,B,0,0.12,t5,0.1186,0.136,0.056,Q,,,,,,,,
y106,4,B,0,0.12,t5,0.2406,1.1571,1.089,Q,,,,,,,,
y106,5,B,0,0.12,t5,1.0996,1.1859,1.1045,Q,,,,,,,,
y106,6,B,0,0.12,t5,0.432,1.2083,1.127,Q,,,,,,,,
y106,7,B,0,0.12,t5,0.3421,1.1835,1.0978,Q,,,,,,,,
y106,8,B,0,0.12,t5,0.8194,1.1952,1.1052,Q,,,,,,,,
y106,9,B,0,0.12,t5,0.9783,1.2115,1.1262,Q,,,,,,,,
y106,10,B,0,0.12,t5,0.6344,1.1961,1.1013,Q,,,,,,,,
y106,11,B,0,0.12,t5,1.0687,1.1735,1.0915,Q,,,,,,,,
y106,12,B,0,0.12,t5,0.9993,1.1618,1.0873,Q,,,,,,,,
y106,1,A,0.03,0.12,t5,0.1079,0.2893,0.6491,Q,,,,,,,,
y106,2,A,0.03,0.12,t5,0.1301,0.3196,0.4289,Q,,,,,,,,
y106,3,A,0.03,0.12,t5,0.1025,0.1349,0.0547,Q,,,,,,,,
y106,4,A,0.03,0.12,t5,0.1144,0.2524,0.2679,Q,,,,,,,,
y106,5,A,0.03,0.12,t5,0.1641,0.2939,0.2452,Q,,,,,,,,
y106,6,A,0.03,0.12,t5,0.1101,0.2317,0.2702,Q,,,,,,,,
y106,7,A,0.03,0.12,t5,0.1434,0.4368,0.402,Q,,,,,,,,
y106,8,A,0.03,0.12,t5,0.1521,0.3336,0.2424,Q,,,,,,,,
y106,9,A,0.03,0.12,t5,0.1271,0.2725,0.2497,Q,,,,,,,,
y106,10,A,0.03,0.12,t5,0.1549,0.3377,0.2382,Q,,,,,,,,
y106,11,A,0.03,0.12,t5,0.112,0.1365,0.1232,Q,,,,,,,,
y106,12,A,0.03,0.12,t5,0.1142,0.2112,0.2536,Q,,,,,,,,
y106,1,B,0.03,0.12,t5,0.1238,0.3203,0.3977,Q,,,,,,,,
y106,2,B,0.03,0.12,t5,0.1059,0.225,0.2861,Q,,,,,,,,
y106,3,B,0.03,0.12,t5,0.1051,0.1346,0.0554,Q,,,,,,,,
y106,4,B,0.03,0.12,t5,0.1159,0.3111,0.3214,Q,,,,,,,,
y106,5,B,0.03,0.12,t5,0.1385,0.2427,0.1978,Q,,,,,,,,
y106,6,B,0.03,0.12,t5,0.1081,0.2026,0.2814,Q,,,,,,,,
y106,7,B,0.03,0.12,t5,0.1889,0.5654,0.5507,Q,,,,,,,,
y106,8,B,0.03,0.12,t5,0.1449,0.2792,0.1923,Q,,,,,,,,
y106,9,B,0.03,0.12,t5,0.138,0.257,0.2777,Q,,,,,,,,
y106,10,B,0.03,0.12,t5,0.1355,0.2895,0.1997,Q,,,,,,,,
y106,11,B,0.03,0.12,t5,0.1269,0.2114,0.2109,Q,,,,,,,,
y106,12,B,0.03,0.12,t5,0.1036,0.2006,0.2139,Q,,,,,,,,
y106,1,A,0.12,0.12,t5,0.1125,0.3038,0.3078,Q,,,,,,,,
y106,2,A,0.12,0.12,t5,0.1259,0.2946,0.3224,Q,,,,,,,,
y106,3,A,0.12,0.12,t5,0.103,0.171,0.0538,Q,,,,,,,,
y106,4,A,0.12,0.12,t5,0.1042,0.2908,0.2672,Q,,,,,,,,
y106,5,A,0.12,0.12,t5,0.1376,0.2574,0.2634,Q,,,,,,,,
y106,6,A,0.12,0.12,t5,0.1041,0.1767,0.1949,Q,,,,,,,,
y106,7,A,0.12,0.12,t5,0.2098,0.6162,0.6252,Q,,,,,,,,
y106,8,A,0.12,0.12,t5,0.177,0.3442,0.2138,Q,,,,,,,,
y106,9,A,0.12,0.12,t5,0.1031,0.2045,0.2546,Q,,,,,,,,
y106,10,A,0.12,0.12,t5,0.1827,0.2799,0.2017,Q,,,,,,,,
y106,11,A,0.12,0.12,t5,0.1402,0.2269,0.1835,Q,,,,,,,,
